price,well below 2° - Flat ,1.5° - Flat,well below 2° -  Progressing,1.5° - Progressing
864,0.002206536,0.555773467,0.004501993,0.631636305
865,0.002184471,0.555715732,0.004456973,0.631319942
866,0.002162626,0.555658575,0.004412403,0.631006743
867,0.002141,0.555601989,0.004368279,0.630696676
868,0.00211959,0.555545969,0.004324596,0.630389709
869,0.002098394,0.555490509,0.00428135,0.630085812
870,0.00207741,0.555435604,0.004238537,0.629784954
871,0.002056636,0.555381248,0.004196151,0.629487104
872,0.002036069,0.555327436,0.00415419,0.629192233
873,0.002015709,0.555274161,0.004112648,0.628900311
874,0.001995552,0.55522142,0.004071522,0.628611308
875,0.001975596,0.555169206,0.004030806,0.628325194
876,0.00195584,0.555117514,0.003990498,0.628041943
877,0.001936282,0.555066338,0.003950593,0.627761523
878,0.001916919,0.555015675,0.003911087,0.627483908
879,0.00189775,0.554965518,0.003871976,0.627209069
880,0.001878772,0.554915863,0.003833257,0.626936978
881,0.001859985,0.554866704,0.003794924,0.626667608
882,0.001841385,0.554818037,0.003756975,0.626400932
883,0.001822971,0.554769857,0.003719405,0.626136923
884,0.001804741,0.554722158,0.003682211,0.625875554
885,0.001786694,0.554674937,0.003645389,0.625616798
886,0.001768827,0.554628188,0.003608935,0.62536063
887,0.001751139,0.554581906,0.003572846,0.625107024
888,0.001733627,0.554536087,0.003537117,0.624855954
889,0.001716291,0.554490726,0.003501746,0.624607394
890,0.001699128,0.554445818,0.003466729,0.62436132
891,0.001682137,0.55440136,0.003432061,0.624117707
892,0.001665315,0.554357347,0.003397741,0.62387653
893,0.001648662,0.554313773,0.003363763,0.623637765
894,0.001632176,0.554270635,0.003330126,0.623401387
895,0.001615854,0.554227929,0.003296824,0.623167373
896,0.001599695,0.55418565,0.003263856,0.622935699
897,0.001583698,0.554143793,0.003231218,0.622706342
898,0.001567861,0.554102355,0.003198905,0.622479279
899,0.001552183,0.554061332,0.003166916,0.622254486
900,0.001536661,0.554020719,0.003135247,0.622031941
901,0.001521294,0.553980511,0.003103895,0.621811622
902,0.001506081,0.553940706,0.003072856,0.621593506
903,0.001491021,0.553901299,0.003042127,0.621377571
904,0.00147611,0.553862286,0.003011706,0.621163795
905,0.001461349,0.553823663,0.002981589,0.620952157
906,0.001446736,0.553785427,0.002951773,0.620742635
907,0.001432268,0.553747572,0.002922255,0.620535209
908,0.001417946,0.553710097,0.002893033,0.620329857
909,0.001403766,0.553672996,0.002864102,0.620126558
910,0.001389729,0.553636266,0.002835461,0.619925293
911,0.001375831,0.553599903,0.002807107,0.61972604
912,0.001362073,0.553563904,0.002779036,0.619528779
913,0.001348452,0.553528265,0.002751245,0.619333492
914,0.001334968,0.553492982,0.002723733,0.619140157
915,0.001321618,0.553458053,0.002696496,0.618948755
916,0.001308402,0.553423472,0.002669531,0.618759268
917,0.001295318,0.553389237,0.002642835,0.618571675
