Fuels,2020,2030,2040,2050
MeOH-ebio,3.831854842,3.831854842,0,0
MeOH-PS,3.831854842,3.831854842,0,0
MeOH-DAC,3.831854842,3.831854842,0,0
NH3-green,4.344854842,4.344854842,0,0
