Fuels,2020,2030,2040,2050
MeOH-ebio,0.655086571,0.655086571,0,0
MeOH-PS,0.655086571,0.655086571,0,0
MeOH-DAC,0.655086571,0.655086571,0,0
NH3-green,0.655086571,0.655086571,0,0
